"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Story points","Environment","QASE TC # (only for bug)","Description","Votes"
"G33-42","group3.3","Star","New TO-DO - Возврат на главный экран из создания новой записи стрелкой тулбара","IliaRumyancev","30 Jan 2023","30 Jan 2023",,"Show-stopper","Bug","Open","Unassigned","Unscheduled",,"No environment","https://app.qase.io/case/G33-130","**Preconditions:**

1. Приложение установлено

| STR | Ex. Result | Result |
| --- | --- | --- |
| 1\. Запустить приложение | Приложение запущено | Приложение запущено |
| 2\. Перейти к созданию новой<br/> записи нажав на кнопу ""+"" | Открыт экран создания <br/>новой записи | Открыт экран создания <br/>новой записи |
| 3\. Не создавая записи выйти на главный экран нажав<br/> стрелку в тубаре. | Происходит переход на <br/>главный экран | НЕ происходит переход на <br/>главный экран |

Видео бага в аттаче:

0:04 - не работающая стрелка

Лог в аттаче","0"
"G33-43","group3.3","","New TO-DO - В Title новой записи невозможно ввести больше 50 символов","IliaRumyancev","30 Jan 2023","30 Jan 2023",,"Normal","Bug","Open","Unassigned","Unscheduled",,"No environment","https://app.qase.io/case/G33-133","**Preconditions:**

1. Приложение установлено
2. Приложение запущено

   Title: ""В этом тексте есть пятьдесят символов на кириллице""

   TO-DO: 

| STR | Ex. Result | Result |
| --- | --- | --- |
| 1\. Перейти к созданию новой<br/>записи нажав на кнопу ""+"" | Открылся экран New TO-DO | Открылся экран New TO-DO |
| 2\. Ввести в поле Title 50 латинских символов | Все символы введены | Все символы введены |
| 3\. Ввести в поле еще 1 символ | Символ НЕ введен | Символ введен! |
| 4\. Создать запись | В заголовке записи 50 введеных символов | В заголовке записи 51 введеных символов |

Видео бага в аттаче:

0:10 - добавление 51 символа

0:18 - создание записи с 51 символом в Title

Лог в аттаче","0"
"G33-44","group3.3","","New TO-DO - Возврат на главный экран из создания новой записи жестом ""назад""","IliaRumyancev","30 Jan 2023","30 Jan 2023",,"Show-stopper","Bug","Open","Unassigned","Unscheduled",,"No environment","https://app.qase.io/case/G33-130","**Preconditions:**

1. Приложение установлено

| STR | Ex. Result | Result |
| --- | --- | --- |
| 1\. Запустить приложение | Приложение запущено | Приложение запущено |
| 2\. Перейти к созданию новой<br /> записи нажав на кнопу ""+"" | Открыт экран создания <br />новой записи | Открыт экран создания <br />новой записи |
| 3\. Не создавая записи выйти на главный экран<br/> используя жест назад. | Происходит переход на <br />главный экран | НЕ происходит переход на <br />главный экран |

Видео бага в аттаче:

0:08 - не работающий жест

Лог в аттаче","0"
"G33-45","group3.3","","New TO-DO - В TO-DO новой записи невозможно ввести больше 256 символов","IliaRumyancev","30 Jan 2023","30 Jan 2023",,"Show-stopper","Bug","Open","Unassigned","Unscheduled",,"No environment","https://app.qase.io/case/G33-133","**Preconditions:**

1. Приложение установлено

2. Приложение запущено

   Title: ""Test""

   TO-DO: ""В этом тексте есть двести пятьдесят шесть кириллических символов. В этом тексте есть двести пятьдесят шесть кириллических символов. В этом тексте есть двести пятьдесят шесть кириллических символов. В этом тексте есть двести пятьдесят шесть кириллических си""

| STR | Ex. Result | Result |
| --- | --- | --- |
| 1\. Перейти к созданию новой<br />записи нажав на кнопу ""+"" | Открылся экран New TO-DO | Открылся экран New TO-DO |
| 2\. Ввести в поле TO-DO 256 символов<br />на кириллице | Все символы введены | Все символы введены |
| 3\. Ввести в поле еще 1 символ | Символ НЕ введен | Символ введен! |
| 4\. Создать запись | В заголовке записи 257 введеных символов | Запись не создалась, удалились все созданные записи |

Видео бага в аттаче:

0:09 - добавление 257 символа

0:14 - запись не создалась

Лог в аттаче","0"
"G33-46","group3.3","","New TO-DO - Название записи может содержать цифры","IliaRumyancev","30 Jan 2023","30 Jan 2023",,"Show-stopper","Bug","Open","Unassigned","Unscheduled",,"No environment","https://app.qase.io/case/G33-133","**Preconditions:**

1. Приложение установлено

2. Приложение запущено

   Цифры: Title: ""1234""

| STR | Ex. Result | Result |
| --- | --- | --- |
| 1\. Перейти к созданию новой<br />записи нажав на кнопу ""+"" | Открылся экран New TO-DO | Открылся экран New TO-DO |
| 2\. Ввести в поле Title цифры из <br />предусловий | Все символы введены | Все символы введены |
| 3\. Создать запись | В заголовке записи введеные символы | Запись не создалась, удалились все <br />существующие записи! |

Видео бага в аттаче:

0:09 - ввод цифр в Title

0:14 - Запись не создалась, удалились все 
существующие записи!

Лог в аттаче","0"
"G33-47","group3.3","","New TO-DO - Поле TO-DO может содержать цифры","IliaRumyancev","30 Jan 2023","30 Jan 2023",,"Show-stopper","Bug","Open","Unassigned","Unscheduled",,"No environment","https://app.qase.io/case/G33-136","**Preconditions:**

1. Приложение установлено

2. Приложение запущено

   Цифры: Title: ""Test""

   TO-DO: ""123456""

| STR | Ex. Result | Result |
| --- | --- | --- |
| 1\. Перейти к созданию новой<br />записи нажав на кнопу ""+"" | Открылся экран New TO-DO | Открылся экран New TO-DO |
| 2\. Ввести в поле Title данные из <br />предусловий | Все символы введены | Все символы введены |
| 3\. Ввести в поле TO-DO цифры из <br/>предусловий | Все символы введены | Все символы введены |
| 4\. Создать запись | В заголовке записи введеные символы | Запись не создалась, удалились все <br />существующие записи! |

Видео бага в аттаче:

0:09 - ввод цифр в TO-DO

0:14 - Запись не создалась, удалились все
существующие записи!

Лог в аттаче","0"
"G33-26","group3.3","Star","Shopping Cart: possible to enter special chars/letters to input with products quantity","IliaRumyancev","4 Jan 2023","4 Jan 2023",,"Normal","Task","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)","**Description:** possible to enter special chars/letters to input with products quantity. Alert not shown.

**Preconditions:** There are one or more products in Shopping Cart

**STR:**

1. Go to Shopping cart page
2. Input special chars/letters in products quantity input field

**Expected result:**

* Not possible to enter special chars/letters to input with products quantity. Alert is shown.

**Result:**

* Possible to enter special chars/letters to input with products quantity. Alert not shown.","0"
"G33-27","group3.3","Star","Shopping Cart: Estimate Shipping: No checking for correct Index","IliaRumyancev","4 Jan 2023","4 Jan 2023",,"Normal","Bug","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)","**Description:** No checking for correct Index

**Preconditions:** There are one or more products in Shopping Cart

**STR:**

1. Go to Shopping cart page
2. Choose Country ""United States"" in Estimate Shipping block
3. Choose any State
4. Enter incorrect ZIP

**Expected result:**

* ""Enter right ZIP code"" alert is shown

**Result:**

* No any alerts are shown","0"
"G33-29","group3.3","","Shopping Cart: possible to enter special chars/letters to input with products quantity","IliaRumyancev","4 Jan 2023","4 Jan 2023",,"Normal","Task","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)","**Description:** possible to enter special chars/letters to input with products quantity. Alert not shown.

**Preconditions:** There are one or more products in Shopping Cart

**STR:**

1. Go to Shopping cart page
2. Input special chars/letters in products quantity input field

**Expected result:**

* Not possible to enter special chars/letters to input with products quantity. Alert is shown.

**Result:**

* Possible to enter special chars/letters to input with products quantity. Alert not shown.","0"
"G33-28","group3.3","","Checkout: Billing Address: possible to enter special chars and digits to ""First name"" field","IliaRumyancev","4 Jan 2023","4 Jan 2023",,"Normal","Bug","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)","**Description:** possible to enter special chars and digits to ""First name"" field

**Preconditions:**

1. There are one or more products in Shopping Cart
2. Click  Checkout button to Billing address page

**STR:**

1. Choose New Address then click Continue button
2. Try to fill in ""First name"" input field with digits and special chars

**Expected result:**

* Not possible to fill in ""First name"" input field with digits and special chars

**Result:**

* Possible to fill in ""First name"" input field with digits and special chars","0"
